year	state	employee_position_clean	soc	employee_earliest_year_flag	min_state_year	statefe	stateyr	statefemale	femaleyr	socyr	statesoc	statesocyr	positionyr	stateposition	statepositionyr	socfemale	positionfemale	id	employee_salary_annual	female	employee_id	min_emp_year	log_salary_annual	policy_year	policy_month	treatment
2018	"CA"	"eligibility specialist"	"43-4061"	0	2010	2	15	4	25	6265	908	6829	403792	56289	206528	1079	135793	12552.0	56778.8	0	12123	2014	10.9469185	2019	1	0
2019	"NJ"	"trooperation"	"33-3051"	1	2010	24	173	47	13	5025	9044	59813	1059589	225941	895881	856	356688	17552.0	56778.8	0	12123	2014	10.9469185	2019	1	0
2014	"CA"	"library assistant"	"15-1151"	0	2010	2	11	3	8	1047	456	2894	615453	86033	316027	169	206967	12470.0	42000.39	0	12786	2014	10.645434	2019	1	0
2015	"IL"	"investigator"	"43-4131"	0	2014	9	64	18	22	6325	3631	26737	571817	173192	669485	1089	192693	22470.0	42000.39	0	12786	2014	10.645434	2019	1	0
2016	"NJ"	"nutrn program specialist"	"21-1015"	0	2010	24	170	48	23	2295	8926	58877	698497	223525	882824	381	234334	7470.0	42000.39	0	12786	2014	10.645434	2019	1	0
2014	"CA"	"clinical laboratory scientist"	"29-2056"	0	2010	2	11	4	21	4425	751	5453	212350	30819	115167	758	72121	19242.0	39665.06	0	12871	2014	10.588226	2019	1	0
2016	"MD"	"office secy"	"43-6014"	0	2014	14	101	28	23	6592	5826	41010	702920	201047	793010	1133	235898	8816.0	128710.0	1	12871	2015	11.76144	2018	1	1
2017	"PA"	"assistant professor"	"25-1199"	0	2014	29	207	58	24	2982	10976	72766	89671	251059	986785	501	30864	14242.0	39665.06	0	12871	2014	10.588226	2019	1	0
2018	"MD"	"family service caseworker"	"21-1021"	0	2014	14	103	28	25	2321	5691	40253	451451	200474	790197	385	151609	9242.0	39665.06	0	12871	2014	10.588226	2019	1	0
2019	"OR"	"correctional officer entry"	"21-1092"	1	2014	28	203	55	13	2381	10612	70866	260775	249432	981196	394	88845	4242.0	39665.06	0	12871	2014	10.588226	2019	1	0
2014	"GA"	"grade "	"25-3021"	0	2010	6	38	12	21	3151	2153	15145	493244	163869	615945	533	165166	2116.0	36020.62	0	13840	2014	10.491847	2019	1	0
2015	"NJ"	"sftwre development specialist"	"15-1132"	0	2010	24	169	47	9	971	8843	58228	929757	225096	891276	157	311624	7116.0	36020.62	0	13840	2014	10.491847	2019	1	0
2017	"NY"	"assistant train dispatcher"	"43-5032"	0	2011	26	186	52	24	6446	9971	65954	100229	228815	906232	1109	34360	22116.0	36020.62	0	13840	2014	10.491847	2019	1	0
2018	"MO"	"probation parole officer"	"21-1092"	0	2014	18	130	36	25	2380	6764	46261	771341	206205	815406	395	259249	17116.0	36020.62	0	13840	2014	10.491847	2019	1	0
2015	"CA"	"appraiser"	"41-9099"	1	2010	2	12	3	9	6048	890	6665	50849	10046	37313	1042	18033	3126.0	22464.23	0	17190	2016	10.0640335	2018	1	1
2014	"MA"	"program manager"	"27-2012"	0	2010	13	93	26	21	3505	5232	36599	780836	196457	768995	597	262473	17731.0	38848.52	0	17866	2014	10.567426	2019	1	0
2016	"UT"	"program assistant"	"39-9032"	0	2009	33	233	66	23	5779	12979	84671	778793	299800	1171700	995	261761	2731.0	38848.52	0	17866	2014	10.567426	2019	1	0
2017	"NY"	"assistant director hosp"	"27-2012"	1	2011	26	186	51	11	3508	9766	64567	74391	228138	903966	596	25773	12731.0	38848.52	0	17866	2014	10.567426	2019	1	0
2014	"UT"	"it project manager"	"15-1199"	1	2009	33	231	66	21	1073	12611	81080	577450	294347	1148339	174	194728	21136.0	47000.2	0	19706	2017	10.757907	2019	1	0
2016	"TX"	"engineerring technician"	"53-6041"	1	2014	32	222	63	10	9562	12499	80087	415158	268065	1046785	1673	139649	1136.0	47000.2	0	19706	2017	10.757907	2019	1	0
2017	"CA"	"agricstandards technician"	"43-4071"	1	2010	2	14	4	24	6277	909	6838	36243	8038	29557	1081	13140	6136.0	47000.2	0	19706	2017	10.757907	2019	1	0
2014	"CA"	"fire captain"	"33-2011"	0	2010	2	11	3	8	4921	792	5818	462597	64287	235829	840	155324	7941.0	33709.16	0	22291	2014	10.425525	2019	1	0
2016	"MA"	"regional planner"	"19-3051"	0	2010	13	95	25	10	2003	5129	35674	827057	196996	771913	331	278487	2941.0	33709.16	0	22291	2014	10.425525	2019	1	0
2017	"NJ"	"temporary equipment operator"	"47-2071"	1	2010	24	171	47	11	7040	9161	60772	1038724	225819	895168	1211	349809	12941.0	33709.16	0	22291	2014	10.425525	2019	1	0
2018	"TX"	"judge"	"27-2023"	0	2014	32	224	64	25	3543	12093	77837	583582	270859	1056463	603	196833	7321.0	45561.0	0	22291	2015	10.749317	2017	4	1
2019	"CA"	"licensed mntl health clinical"	"21-1014"	0	2010	2	16	4	26	2285	561	3817	619212	86722	318701	379	208172	22941.0	33709.16	0	22291	2014	10.425525	2019	1	0
2015	"PA"	"human services program specialist"	"21-1093"	0	2014	29	205	57	9	2390	10933	72533	534349	254900	1002591	396	178756	6381.0	38750.07	0	24775	2014	10.564888	2019	1	0
2017	"CA"	"engineerlish teacher"	"25-3011"	1	2010	2	14	3	11	3141	637	4482	412868	57596	211504	530	138878	1381.0	38750.07	0	24775	2014	10.564888	2019	1	0
2018	"CA"	"licensedocational nurse"	"29-2061"	0	2010	2	15	4	25	4451	753	5476	619572	86757	318831	762	208311	21381.0	38750.07	0	24775	2014	10.564888	2019	1	0
2019	"IN"	"physicsplt director"	"27-2022"	0	2014	10	74	19	13	3534	3909	28180	741478	175288	678509	600	249384	11381.0	38750.07	0	24775	2014	10.564888	2019	1	0
2016	"TX"	"instructor"	"25-3021"	0	2014	32	222	64	23	3153	12064	77670	558564	270392	1055028	533	187448	23338.0	92001.0	0	26275	2014	11.429555	2019	1	0
2019	"MD"	"refrigeration mechanic"	"49-9021"	0	2014	14	104	27	13	7817	5849	41144	824482	201230	793946	1353	277724	13338.0	92001.0	0	26275	2014	11.429555	2019	1	0
2014	"WA"	"system support analyst"	"15-1151"	1	2013	35	249	69	8	1047	13736	91128	1012458	327057	1279696	169	339888	13866.0	30160.02	0	26879	2015	10.314273	2019	1	0
2015	"WA"	"senior fellow"	"39-9041"	0	2013	35	250	70	22	5791	14066	93132	893542	325771	1275110	997	300370	3866.0	30160.02	0	26879	2015	10.314273	2019	1	0
2018	"VT"	"hwy safety program coordinator"	"43-1011"	0	2009	34	246	67	12	6064	13573	89922	536231	309899	1214690	1044	179284	18866.0	30160.02	0	26879	2015	10.314273	2019	1	0
2016	"CA"	"paraeducator"	"25-9041"	1	2010	2	13	4	23	3293	649	4587	714939	99296	363881	557	240272	24998.0	37678.11	0	28094	2014	10.536835	2019	1	0
2017	"IL"	"public service administrator"	"11-9111"	0	2014	9	66	18	24	407	3360	25229	803430	173849	672402	66	270761	19998.0	37678.11	0	28094	2014	10.536835	2019	1	0
2019	"CA"	"personnel specialist"	"13-1199"	0	2010	2	16	4	26	725	430	2654	735484	102874	376866	118	247361	9998.0	37678.11	0	28094	2014	10.536835	2019	1	0
2017	"WA"	"imaging techniciannologist"	"29-2035"	1	2013	35	252	70	24	4312	13974	92583	539501	320657	1256340	738	180656	23265.0	29943.46	0	29750	2017	10.307066	2019	1	0
2018	"CA"	"adjunct counselors"	"21-1012"	1	2010	2	15	3	12	2260	559	3797	14903	4499	17891	374	5650	8265.0	29943.46	0	29750	2017	10.307066	2019	1	0
2019	"CA"	"principal analyst"	"13-2051"	0	2010	2	16	4	26	797	436	2711	762928	107043	392860	130	256469	13265.0	29943.46	0	29750	2017	10.307066	2019	1	0
2019	"CA"	"laborer"	"53-7064"	0	2010	2	16	3	13	9715	1217	9537	591556	82436	301983	1701	199546	16091.0	83400.0	0	32264	2013	11.3322935	2018	1	0
2016	"GA"	"professor"	"25-1194"	0	2010	6	40	12	23	2968	2140	15023	775714	164849	621419	499	260757	22823.0	50834.54	0	32566	2014	10.836331	2019	1	0
2017	"UT"	"lab technician"	"51-9151"	1	2009	33	234	66	24	9064	13232	86959	589312	294814	1150412	1585	198828	12823.0	50834.54	0	32566	2014	10.836331	2019	1	0
2019	"OR"	"professional engineerr "	"11-9121"	1	2014	28	203	55	13	422	10551	70588	775085	249916	982693	67	260519	2823.0	50834.54	0	32566	2014	10.836331	2019	1	0
2014	"NY"	"journeyman electrician"	"47-3013"	0	2011	26	183	51	8	7241	10025	66321	582419	237494	934184	1250	196462	21250.0	33776.71	0	33608	2014	10.427526	2019	1	0
2015	"CA"	"paralegal"	"23-2011"	0	2010	2	12	4	22	2523	581	4003	715800	99618	364734	419	240711	1250.0	33776.71	0	33608	2014	10.427526	2019	1	0
2016	"CA"	"civil engineerr"	"17-2051"	0	2010	2	13	3	10	1337	482	3109	203093	29367	110110	221	68833	16250.0	33776.71	0	33608	2014	10.427526	2019	1	0
2017	"SC"	"trades specialist"	"11-2021"	1	2014	30	213	59	11	63	11294	74506	1047157	259130	1020278	9	352800	6262.0	41849.6	1	37778	2018	10.6010475	2018	1	1
2017	"NC"	"library technician"	"25-4031"	0	2014	20	141	40	24	3242	7647	50978	617652	213346	838495	549	207671	8636.0	46232.0	1	38146	2011	10.8028555	2018	1	0
2014	"CA"	"firefighter"	"33-2011"	0	2010	2	11	3	8	4921	792	5818	466164	64920	238418	840	156384	1051.0	39664.46	1	38482	2014	10.588211	2019	1	0
2018	"MO"	"financial examiner"	"13-2061"	0	2014	18	130	36	25	846	6674	45742	459699	205461	811887	138	154381	16051.0	39664.46	1	38482	2014	10.588211	2019	1	0
2019	"AZ"	"invgtr"	"53-2011"	0	2014	1	6	1	13	9233	354	2027	572365	1007	5245	1613	192875	6051.0	39664.46	1	38482	2014	10.588211	2019	1	0
2015	"CA"	"clinical nurse"	"29-1141"	0	2010	2	12	4	22	4122	723	5232	212625	30845	115302	705	72211	10615.0	40125.6	1	38578	2016	10.59977	2019	1	0
2017	"CA"	"accounting officer r"	"13-2011"	1	2010	2	14	3	11	736	431	2662	6800	3081	13931	119	2455	615.0	40125.6	1	38578	2016	10.59977	2019	1	0
2015	"LA"	"cultural program coordinator"	"11-9121"	0	2014	12	84	24	22	418	4611	32247	276840	182519	700586	68	94302	8604.0	47864.81	1	38865	2015	10.776135	2019	1	0
2016	"CA"	"information system analyst"	"15-1122"	0	2010	2	13	3	10	946	448	2820	544260	75457	278185	153	182270	18604.0	47864.81	1	38865	2015	10.776135	2019	1	0
2018	"TX"	"psychiatric nursing assistant"	"31-1013"	1	2014	32	224	63	12	4656	12176	78310	793082	274123	1068386	797	266745	23604.0	47864.81	1	38865	2015	10.776135	2019	1	0
2014	"CA"	"information techniciannology analyst"	"15-1122"	1	2010	2	11	3	8	944	448	2818	546374	75769	279544	153	182897	24108.0	38475.28	1	39029	2014	10.557772	2019	1	0
2015	"CA"	"heavy duty equipment mechanic"	"49-3041"	0	2010	2	12	3	9	7691	1035	7946	514173	71090	262271	1332	171755	9108.0	38475.28	1	39029	2014	10.557772	2019	1	0
2018	"CA"	"secretary"	"43-6014"	0	2010	2	15	4	25	6594	935	7079	865410	121801	446497	1133	291666	4108.0	38475.28	1	39029	2014	10.557772	2019	1	0
2019	"IL"	"corrections senior parole agent"	"33-1011"	0	2014	9	68	18	26	4870	3554	26312	262526	172434	666397	832	89425	19108.0	38475.28	1	39029	2014	10.557772	2019	1	0
2014	"CA"	"assistant principal"	"11-9032"	0	2010	2	11	4	21	292	395	2329	88163	13892	52216	48	30273	32.0	50085.94	1	39511	2015	10.821496	2019	1	0
2015	"KS"	"facilities maintenance super"	"49-1011"	1	2012	11	78	21	9	7497	4495	31610	445098	178555	687911	1299	149599	4885.0	50085.94	1	39511	2015	10.821496	2019	1	0
2016	"WA"	"management analyst"	"15-1199"	0	2013	35	251	70	23	1075	13738	91144	636871	322297	1261972	174	213761	15032.0	50085.94	1	39511	2015	10.821496	2019	1	0
2018	"CA"	"special ed programs specialist"	"13-1111"	0	2010	2	15	4	25	648	424	2597	949193	133229	494927	106	318334	14885.0	50085.94	1	39511	2015	10.821496	2019	1	0
2019	"CA"	"childrens social worker"	"21-1021"	0	2010	2	16	4	26	2322	564	3846	200059	28855	108245	385	67863	5032.0	50085.94	1	39511	2015	10.821496	2019	1	0
2014	"CA"	"parking enforcement officer"	"33-3041"	0	2010	2	11	3	8	5007	799	5883	720002	100427	367848	854	242119	14926.0	47481.06	1	39919	2014	10.768086	2019	1	0
2015	"NE"	"gp conservation technician"	"19-4093"	0	2014	22	151	43	9	2198	8260	54292	492892	217733	852865	364	165040	4926.0	47481.06	1	39919	2014	10.768086	2019	1	0
2016	"AZ"	"human service specialist"	"21-1021"	0	2014	1	3	2	23	2319	121	701	533613	933	4840	385	178525	9926.0	47481.06	1	39919	2014	10.768086	2019	1	0
2017	"TX"	"associate professor"	"17-2031"	0	2014	32	223	63	11	1314	11924	76876	114941	263263	1031057	217	39728	19926.0	47481.06	1	39919	2014	10.768086	2019	1	0
2015	"TX"	"director"	"41-1012"	1	2014	32	221	64	22	5828	12260	78786	319488	266364	1041676	1003	108359	23446.0	33246.59	1	40075	2014	10.411708	2019	1	0
2016	"NY"	"bt sergeant "	"33-1011"	0	2011	26	185	51	10	4867	9864	65229	144590	229920	909729	831	49570	8446.0	33246.59	1	40075	2014	10.411708	2019	1	0
2017	"PA"	"professor"	"25-1194"	0	2014	29	207	57	11	2969	10975	72760	775715	256595	1009392	498	260756	13446.0	33246.59	1	40075	2014	10.411708	2019	1	0
2014	"GA"	"grade "	"25-3021"	1	2010	6	38	12	21	3151	2153	15145	493244	163869	615945	533	165166	1408.0	75410.41	1	40847	2014	11.2307005	2019	1	0
2016	"GA"	"custodial personnel"	"37-2011"	0	2010	6	40	11	10	5348	2254	15952	278529	163236	612324	918	94910	16408.0	75410.41	1	40847	2014	11.2307005	2019	1	0
2017	"CA"	"supervising civil engineerring assistant"	"17-3022"	0	2010	2	14	3	11	1564	501	3281	990465	139862	517172	259	333360	11408.0	75410.41	1	40847	2014	11.2307005	2019	1	0
2018	"MI"	"services specialist"	"21-1021"	0	2014	16	115	31	12	2321	6285	43383	928455	204088	805085	384	311223	21408.0	75410.41	1	40847	2014	11.2307005	2019	1	0
2019	"CA"	"social worker"	"43-4051"	0	2010	2	16	3	13	6253	907	6820	941511	132008	490388	1076	315589	6408.0	75410.41	1	40847	2014	11.2307005	2019	1	0
2014	"CA"	"maintenance worker"	"49-9098"	0	2010	2	11	3	8	8052	1067	8224	634807	88954	326792	1396	213086	19519.0	44982.16	1	42389	2015	10.714022	2019	1	0
2016	"WI"	"office operations associate"	"43-9111"	1	2014	36	257	72	23	6722	14583	96124	702774	329668	1290194	1153	235851	24519.0	44982.16	1	42389	2015	10.714022	2019	1	0
2017	"CA"	"administrative support coordinator "	"11-3011"	0	2010	2	14	4	24	124	382	2216	26580	6635	24782	20	9606	14519.0	44982.16	1	42389	2015	10.714022	2019	1	0
2018	"OR"	"human services specialist"	"21-1093"	1	2014	28	202	56	25	2393	10613	70871	534410	249652	981858	397	178780	9519.0	44982.16	1	42389	2015	10.714022	2019	1	0
2019	"NJ"	"instructor counselor"	"25-1072"	0	2010	24	173	48	26	2795	8949	59074	558919	222686	878477	469	187583	4519.0	44982.16	1	42389	2015	10.714022	2019	1	0
2015	"CA"	"roads maintenance worker"	"37-3011"	1	2010	2	12	3	9	5393	835	6188	847659	118875	436462	926	285492	8807.0	39715.02	1	44897	2014	10.589485	2019	1	0
2017	"TX"	"texas works supervisor"	"35-1012"	0	2014	32	223	64	24	5154	12215	78537	1040427	278589	1083885	881	350582	18807.0	39715.02	1	44897	2014	10.589485	2019	1	0
2018	"MI"	"library"	"25-4031"	0	2014	16	115	31	12	3243	6307	43480	615208	203856	804045	548	206882	3807.0	39715.02	1	44897	2014	10.589485	2019	1	0
2019	"CA"	"librarian"	"43-4071"	0	2010	2	16	3	13	6279	909	6840	614626	85908	315606	1080	206686	5849.0	38163.0	1	47672	2015	10.399452	2018	1	0
2014	"NJ"	"senior representativeairer"	"41-4011"	0	2010	24	168	47	8	5947	9090	60169	912400	224933	890428	1024	306181	18586.0	33653.29	1	51572	2017	10.423866	2019	1	0
2016	"TX"	"clerk"	"43-9061"	0	2014	32	222	64	23	6683	12327	79178	207791	264740	1035959	1147	70610	13586.0	33653.29	1	51572	2017	10.423866	2019	1	0
2017	"MD"	"corr officer"	"33-3012"	0	2014	14	102	27	11	4973	5770	40698	258910	200232	788991	848	88205	3586.0	33653.29	1	51572	2017	10.423866	2019	1	0
2019	"WA"	"public benefits specialist "	"13-1141"	0	2013	35	254	70	26	686	13709	90954	798940	324683	1270743	112	269324	23586.0	33653.29	1	51572	2017	10.423866	2019	1	0
2015	"OR"	"principal executivemanager e"	"13-2061"	1	2014	28	199	56	22	843	10569	70667	764790	249898	982638	138	257101	19990.0	62306.4	1	53912	2011	11.03962	2018	1	0
2014	"GA"	"child support service officer al"	"23-1012"	0	2010	6	38	12	21	2470	2116	14836	198384	162959	610799	411	67343	9152.0	55129.92	1	54412	2016	10.958163	2018	1	0
2015	"CA"	"coach operator"	"53-3021"	0	2010	2	12	3	9	9297	1179	9195	217272	31429	117501	1625	73817	18267.0	34127.62	1	56372	2017	10.437862	2019	1	0
2016	"NY"	"corr officer"	"33-3012"	1	2011	26	185	51	10	4972	9872	65288	258909	232017	916750	848	88205	13267.0	34127.62	1	56372	2017	10.437862	2019	1	0
2017	"CA"	"speechlanguage specialist"	"25-2051"	1	2010	2	14	4	24	3073	630	4432	956811	134716	499953	517	321182	3267.0	34127.62	1	56372	2017	10.437862	2019	1	0
2018	"CA"	"instructional aide"	"25-9041"	0	2010	2	15	4	25	3295	649	4589	555401	77481	285449	557	186148	23267.0	34127.62	1	56372	2017	10.437862	2019	1	0
2014	"CA"	"office assistant lv"	"43-4071"	0	2010	2	11	4	21	6274	909	6835	701302	97191	356793	1081	235376	13845.0	40846.06	1	56585	2014	10.617566	2019	1	0
2015	"CA"	"school library techniciann"	"25-4031"	0	2010	2	12	4	22	3240	645	4550	857550	120503	441936	549	288970	18845.0	40846.06	1	56585	2014	10.617566	2019	1	0
2016	"MT"	"client service coordinator"	"43-6013"	1	2014	19	134	38	23	6579	7370	49507	209859	207300	820365	1131	71248	13178.0	40846.06	1	56585	2014	10.617566	2019	1	0
2017	"DE"	"administrative specialist"	"43-6011"	0	2014	4	25	8	24	6554	1584	11389	26290	158202	586620	1127	9506	23178.0	40846.06	1	56585	2014	10.617566	2019	1	0
2018	"CA"	"stock clerk"	"43-5081"	1	2010	2	15	3	12	6529	930	7032	972855	136187	505236	1122	326825	18178.0	40846.06	1	56585	2014	10.617566	2019	1	0
2018	"CA"	"eligibility worker"	"43-4061"	0	2010	2	15	3	12	6265	908	6829	403927	56320	206655	1078	135840	17978.0	59031.21	1	59072	2014	10.986802	2018	1	0
2014	"NY"	"medicinesurgery technician"	"29-2099"	0	2011	26	183	52	21	4514	9837	65036	669307	239845	942145	774	224306	398.0	42000.4	1	59454	2014	10.645434	2019	1	0
2017	"PA"	"clerk typist"	"43-9022"	0	2014	29	207	58	24	6632	11170	73863	208936	252218	991116	1139	70957	5398.0	42000.4	1	59454	2014	10.645434	2019	1	0
2015	"MI"	"administrator "	"11-9031"	0	2014	16	112	31	9	280	6212	43018	27004	203442	802280	45	9742	3171.0	24861.13	1	59546	2014	10.12106	2019	1	0
2016	"NY"	"lecturer"	"25-1193"	1	2011	26	185	52	23	2955	9737	64393	609835	238048	935958	497	205257	8171.0	24861.13	1	59546	2014	10.12106	2019	1	0
2017	"NY"	"conductor"	"53-6061"	0	2011	26	186	51	11	9587	10176	67301	239086	231660	915552	1677	81288	18171.0	24861.13	1	59546	2014	10.12106	2019	1	0
2015	"WA"	"district manager"	"41-1012"	0	2013	35	250	70	22	5828	14068	93146	374620	317813	1245565	1003	126180	4183.0	24287.3	1	59880	2014	10.097709	2019	1	0
2016	"GA"	"service maintenance worker"	"49-9098"	1	2010	6	40	12	23	8054	2371	16882	927829	165360	624172	1397	311027	22479.0	31443.72	1	59880	2012	10.372776	2017	1	1
2017	"GA"	"grade "	"25-3021"	0	2010	6	41	11	11	3154	2153	15148	493247	163869	615948	532	165165	14183.0	24287.3	1	59880	2014	10.097709	2019	1	0
2014	"GA"	"clerk"	"43-9061"	0	2010	6	38	12	21	6681	2329	16570	207789	162978	610915	1147	70610	5054.0	49853.32	1	60190	2013	10.839581	2018	1	1
2017	"CA"	"fire fighter"	"33-2011"	0	2010	2	14	3	11	4924	792	5821	463961	64580	236959	840	155753	11512.0	28880.17	1	61754	2016	10.27091	2019	1	0
2018	"CA"	"custodian"	"37-2011"	0	2010	2	15	4	25	5350	831	6155	279057	40715	150366	919	95082	1512.0	28880.17	1	61754	2016	10.27091	2019	1	0
2019	"CA"	"police lieutenant"	"33-1012"	0	2010	2	16	3	13	4883	788	5791	749611	105040	385194	833	252017	6512.0	28880.17	1	61754	2016	10.27091	2019	1	0
2014	"CA"	"recreation supervisor"	"39-9032"	0	2010	2	11	4	21	5777	866	6460	822461	115914	425318	995	277005	6863.0	45389.15	1	66027	2016	10.766049	2018	1	1
2015	"CA"	"management analyst"	"15-1199"	0	2010	2	12	4	22	1074	458	2915	636870	89396	328289	174	213761	16301.0	30150.48	1	66935	2016	10.313956	2019	1	0
2016	"CA"	"fire engineerr"	"33-2011"	0	2010	2	13	3	10	4923	792	5820	463620	64503	236631	840	155649	1301.0	30150.48	1	66935	2016	10.313956	2019	1	0
2017	"NY"	"executive secretary"	"43-6011"	0	2011	26	186	52	24	6554	9979	66012	439870	235867	928942	1127	147841	11301.0	30150.48	1	66935	2016	10.313956	2019	1	0
2019	"CA"	"social worker"	"43-4051"	0	2010	2	16	4	26	6253	907	6820	941511	132008	490388	1077	315590	6301.0	30150.48	1	66935	2016	10.313956	2019	1	0
2016	"CA"	"clinical nurse specialist"	"29-1141"	1	2010	2	13	3	10	4123	723	5233	212740	30863	115379	704	72245	6660.0	26300.0	1	68372	2018	10.033825	2019	1	1
2014	"CA"	"equipment technician"	"51-4031"	0	2010	2	11	3	8	8296	1089	8407	426317	59376	218352	1441	143332	5355.0	32027.33	1	68673	2016	10.374345	2019	1	0
2015	"CA"	"building maintenance worker senior"	"37-1011"	0	2010	2	12	3	9	5323	829	6132	148546	21311	79634	914	50802	355.0	32027.33	1	68673	2016	10.374345	2019	1	0
2016	"OH"	"correctional commissary manager"	"21-1092"	0	2010	27	194	53	10	2378	10315	68530	260053	248056	971235	394	88593	20355.0	32027.33	1	68673	2016	10.374345	2019	1	0
2018	"WA"	"registered nurse "	"29-1141"	0	2013	35	253	70	25	4125	13962	92504	827866	325044	1272197	705	278748	15355.0	32027.33	1	68673	2016	10.374345	2019	1	0
2019	"CA"	"instructional assistant"	"25-9041"	0	2010	2	16	4	26	3296	649	4590	555899	77667	285925	557	186400	10355.0	32027.33	1	68673	2016	10.374345	2019	1	0
2016	"CA"	"legal document examiner"	"43-9061"	0	2010	2	13	3	10	6683	942	7142	610879	85500	313955	1146	205589	20694.0	54195.01	1	70353	2010	10.900736	2019	1	0
2018	"MA"	"developmental services wrk"	"37-2012"	0	2010	13	97	26	25	5361	5352	37629	316489	190253	737679	921	107345	18939.0	33227.48	1	71969	2014	10.427839	2019	1	1
2015	"CA"	"healthnformation coder"	"29-2071"	1	2010	2	12	3	9	4461	754	5482	512608	70875	261398	763	171252	8060.0	24669.72	1	73533	2018	9.873389	2018	1	1
2015	"CA"	"elementary teacher"	"25-3021"	0	2010	2	12	4	22	3152	638	4489	402856	56141	205920	533	135477	23644.0	36930.5	1	74141	2014	10.516793	2019	1	0
2016	"MO"	"licensed clinical social worker"	"21-1021"	0	2014	18	128	36	23	2319	6759	46231	619058	205903	813965	385	208119	13644.0	36930.5	1	74141	2014	10.516793	2019	1	0
2017	"CA"	"administrat analyst prn"	"13-1081"	0	2010	2	14	4	24	623	422	2578	17263	4954	19135	102	6573	18644.0	36930.5	1	74141	2014	10.516793	2019	1	0
2018	"UT"	"judicial assistant"	"43-4031"	0	2009	33	235	66	25	6226	13015	85007	583764	294645	1149639	1073	196898	3644.0	36930.5	1	74141	2014	10.516793	2019	1	0
2019	"GA"	"academic services professional"	"31-2012"	1	2010	6	43	12	26	4719	2222	15691	2730	162309	607304	808	1065	24683.0	35500.0	1	75376	2019	10.361356	2018	1	1
2018	"CA"	"eligibility worker"	"43-4061"	1	2010	2	15	4	25	6265	908	6829	403927	56320	206655	1079	135841	8751.0	46301.18	1	76562	2014	10.727002	2019	1	0
2015	"CA"	"child support officer"	"33-3021"	0	2010	2	12	4	22	4984	797	5866	198130	28587	107038	851	67276	1615.0	57935.8	1	77540	2014	10.967091	2019	1	0
2017	"MO"	"senior maintenance worker"	"49-9071"	0	2014	18	129	35	11	7954	6995	47524	901262	206565	817113	1378	302692	21615.0	57935.8	1	77540	2014	10.967091	2019	1	0
2018	"GA"	"crane operator"	"53-7041"	1	2010	6	42	11	12	9660	2415	17201	270575	163186	612085	1691	92178	16615.0	57935.8	1	77540	2014	10.967091	2019	1	0
